sku;attribute_set_code;product_type;categories;categories_store_name;categories_position;category_ids;product_websites;name;description;short_description;weight;product_online;tax_class_name;visibility;price;special_price;special_price_from_date;special_price_to_date;url_key;meta_title;meta_keywords;meta_description;base_image;base_image_label;small_image;small_image_label;thumbnail_image;thumbnail_image_label;swatch_image;swatch_image_label;created_at;updated_at;display_product_options_in;map_price;msrp_price;map_enabled;gift_message_available;custom_design;custom_design_from;custom_design_to;custom_layout_update;page_layout;product_options_container;msrp_display_actual_price_type;country_of_manufacture;qty;out_of_stock_qty;use_config_min_qty;is_qty_decimal;allow_backorders;use_config_backorders;min_cart_qty;use_config_min_sale_qty;max_cart_qty;use_config_max_sale_qty;is_in_stock;notify_on_stock_below;use_config_notify_stock_qty;manage_stock;use_config_manage_stock;use_config_qty_increments;qty_increments;use_config_enable_qty_inc;enable_qty_increments;is_decimal_divided;website_id;related_skus;related_position;crosssell_skus;crosssell_position;upsell_skus;upsell_position;additional_images;additional_image_labels;hide_from_product_page;custom_options;additional_attributes;parent_sku;parent_url;advanced_is_featured;advanced_is_new;advanced_is_trending;amasty_preorder_cart_label;amasty_preorder_note;aw_sbp_bundle_product_type;color;contenance;cost;custom_layout;custom_layout_update_file;disable_grid_table_view;enable_cpwd;end_date_in_stock;estimated_delivery;free_shipping_returns;gallery;nc_gamme;hover;is_pack;label;links_exist;links_purchased_separately;links_title;manufacturer;nc_marque;mp_gridview;mwishlist_sku;nc_pays;price_type;price_view;product_sizechart;quickorder_sku;rating;samples_title;saveur;shipment_type;sku_type;url_path;weight_type;wee_tax_variations;bundle_price_type;bundle_sku_type;bundle_price_view;bundle_weight_type;bundle_values;bundle_shipment_type;associated_skus;configurable_variations;configurable_variation_labels;video_url;tier_prices;downloadable_links;downloadable_samples
#REF41201;Liquides;simple;"Default Category/DIY/Concentrés/AUTRES/Royal Bastard;Default Category/DIY/Concentrés/AUTRES;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash";"Default Category/DIY/Concentrés/AUTRES/Royal Bastard;Default Category/DIY/Concentrés/AUTRES;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash";"Default Category/DIY/Concentrés/AUTRES/Royal Bastard=-1;Default Category/DIY/Concentrés/AUTRES=-1;Default Category/DIY=1229;Default Category/Marques/Aspire=0;Default Category/Ventes flash=0";6,5,3,207,214;base;The Emperor Concentré 30ML - Royal Bastard;;"<p style=""text-align: left;"">Des arômes de <strong>crème custard à la vanille</strong> avec un soupçon de <strong>lait concentré</strong>.</p>";1.000000;1;Taxable Goods;Catalog, Search;6.500000;;;;the-emperor-concentre-30ml-royal-bastard-ref4120;;;;/_/i/_i_m_img_p_1_0_5_7_6_10576.jpg;;/_/i/_i_m_img_p_1_0_5_7_6_10576.jpg;;/_/i/_i_m_img_p_1_0_5_7_6_10576.jpg;;;;08/04/2024 12:16;09/05/2024 11:42;Block after Info Column;;;;No;;;;;;;Use config;;1000;0.0000;0;0;0;1;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;1.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_0_5_7_6_10576.jpg;;;;advanced_is_featured=No,advanced_is_new=No,advanced_is_trending=No,cost=3.000000,end_date_in_stock=31/07/2024 02:00,gamme=Juice Heroes,is_pack=No,marque=Aspire,pays=France,saveur=;;;No;No;No;;;;;;3.000000;;;;;31/07/2024 02:00;;;;Juice Heroes;;No;;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4161;Liquides;simple;"Default Category/DIY/Concentrés/USA/Halo ;Default Category/DIY/Concentrés/USA;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash";"Default Category/DIY/Concentrés/USA/Halo ;Default Category/DIY/Concentrés/USA;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash";"Default Category/DIY/Concentrés/USA/Halo =-1;Default Category/DIY/Concentrés/USA=-1;Default Category/DIY=1228;Default Category/Marques/Aspire=1;Default Category/Ventes flash=1";8,7,3,207,214;base;Freedom 10ML EX Concentré - Halo;"<p>Plus besoin de présenter la marque Halo, elle propose enfin ses best sellers en concentré.</p>
<p>Dosage conseillé : 25%</p>
<p>Temps de maturation : A partir de 7 jours</p>";"<p style=""""><span>Des notes subtiles de <strong>Classic Blond</strong> avec un parfum délicat de <strong>vanille</strong> et de <strong>caramel</strong>.</span></p>";1.000000;1;Taxable Goods;Catalog, Search;3.350000;;;;freedom-10ml-ex-concentre-halo-ref4161;;;;/_/i/_i_m_img_p_1_0_7_4_3_10743.jpg;;/_/i/_i_m_img_p_1_0_7_4_3_10743.jpg;;/_/i/_i_m_img_p_1_0_7_4_3_10743.jpg;;;;08/04/2024 12:16;09/05/2024 11:42;Block after Info Column;;;;;;;;;;;Use config;;1000;0.0000;0;0;0;1;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;0.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_0_7_4_3_10743.jpg;;;;advanced_is_new=No,contenance=,end_date_in_stock=31/07/2024 02:00,gamme=Juice Heroes,marque=Aspire,pays=France,saveur=;#REF1458782;pack-halo-3;;No;;;;;;;;;;;;31/07/2024 02:00;;;;Juice Heroes;;;;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4162;Liquides;simple;"Default Category/DIY/Concentrés/USA/Halo ;Default Category/DIY/Concentrés/USA;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash;Default Category/Meilleures ventes";"Default Category/DIY/Concentrés/USA/Halo ;Default Category/DIY/Concentrés/USA;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash;Default Category/Meilleures ventes";"Default Category/DIY/Concentrés/USA/Halo =-2;Default Category/DIY/Concentrés/USA=-2;Default Category/DIY=1227;Default Category/Marques/Aspire=2;Default Category/Ventes flash=2;Default Category/Meilleures ventes=0";8,7,3,207,214,217;base;Longhorn 10ML EX Concentré - Halo;"<p>Plus besoin de présenter la marque Halo, elle propose enfin ses best sellers en concentré.</p>
<p>Dosage conseillé : 25%</p>
<p>Temps de maturation : A partir de 7 jours</p>";"<p style=""""><span>Un mélange de </span><strong>tabac</strong><span> </span><strong>riche</strong><span> et </span><strong>robuste</strong><span> rappelant l'intensité du <strong>cigare</strong>. Excellent <strong>hit</strong> et vapeur abondante !</span></p>";1.000000;1;Taxable Goods;Catalog, Search;3.350000;;;;longhorn-10ml-ex-concentre-halo-ref4162;;;;/_/i/_i_m_img_p_1_0_7_4_9_10749.jpg;;/_/i/_i_m_img_p_1_0_7_4_9_10749.jpg;;/_/i/_i_m_img_p_1_0_7_4_9_10749.jpg;;;;08/04/2024 12:16;10/05/2024 14:32;Block after Info Column;;;;No;;;;;;;Use config;;1000;0.0000;0;0;0;0;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;1.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_0_7_4_9_10749.jpg;;;;advanced_is_featured=No,advanced_is_new=No,advanced_is_trending=No,contenance=,end_date_in_stock=31/07/2024 02:00,gamme=Juice Heroes,is_pack=No,label=Meilleure Vente,marque=Aspire,pays=France,saveur=;#REF1458782;pack-halo-3;No;No;No;;;;;;;;;;;31/07/2024 02:00;;;;Juice Heroes;;No;Meilleure Vente;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4163;Liquides;simple;"Default Category/DIY/Concentrés/USA/Halo ;Default Category/DIY/Concentrés/USA;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash;Default Category/Meilleures ventes";"Default Category/DIY/Concentrés/USA/Halo ;Default Category/DIY/Concentrés/USA;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash;Default Category/Meilleures ventes";"Default Category/DIY/Concentrés/USA/Halo =-3;Default Category/DIY/Concentrés/USA=-3;Default Category/DIY=1226;Default Category/Marques/Aspire=3;Default Category/Ventes flash=3;Default Category/Meilleures ventes=1";8,7,3,207,214,217;base;Torque56 10ML EX Concentré - Halo;"<p>Plus besoin de présenter la marque Halo, elle propose enfin ses best sellers en concentré.</p>
<p>Dosage conseillé : 25%</p>
<p>Temps de maturation : A partir de 7 jours</p>";"<p style=""""><span>Ce liquide est destiné à ceux qui veulent retrouver la sensation du vrai <strong>tabac</strong>.</span></p>";1.000000;1;Taxable Goods;Catalog, Search;3.350000;;;;torque56-10ml-ex-concentre-halo-ref4163;;;;/_/i/_i_m_img_p_1_0_7_5_0_10750.jpg;;/_/i/_i_m_img_p_1_0_7_5_0_10750.jpg;;/_/i/_i_m_img_p_1_0_7_5_0_10750.jpg;;;;08/04/2024 12:16;10/05/2024 14:32;Block after Info Column;;;;;;;;;;;Use config;;1000;0.0000;0;0;0;1;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;0.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_0_7_5_0_10750.jpg;;;;advanced_is_new=No,contenance=,end_date_in_stock=31/07/2024 02:00,gamme=Juice Heroes,is_pack=No,label=Meilleure Vente,marque=Aspire,pays=France,saveur=;#REF1458782;pack-halo-3;;No;;;;;;;;;;;;31/07/2024 02:00;;;;Juice Heroes;;No;Meilleure Vente;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4305;Liquides;simple;"Default Category/DIY/Concentrés/FRANCE/SuperVape;Default Category/DIY/Concentrés/FRANCE;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash";"Default Category/DIY/Concentrés/FRANCE/SuperVape;Default Category/DIY/Concentrés/FRANCE;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash";"Default Category/DIY/Concentrés/FRANCE/SuperVape=-1;Default Category/DIY/Concentrés/FRANCE=-1;Default Category/DIY=1225;Default Category/Marques/Aspire=4;Default Category/Ventes flash=4";10,9,3,207,214;base;Concentré Fraise des bois 10ML - SuperVape;;"<p style="""">Des <strong>fraises bien juteuses</strong> fraîchement cueillies !</p>";1.000000;1;Taxable Goods;Catalog, Search;1.770000;;;;concentre-fraise-des-bois-10ml-supervape-ref4305;;;;/_/i/_i_m_img_p_1_1_0_9_2_11092.jpg;;/_/i/_i_m_img_p_1_1_0_9_2_11092.jpg;;/_/i/_i_m_img_p_1_1_0_9_2_11092.jpg;;;;08/04/2024 12:16;09/05/2024 11:42;Block after Info Column;;;;;;;;;;;Use config;;1000;0.0000;0;0;0;1;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;0.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_1_0_9_2_11092.jpg;;;;advanced_is_new=No,contenance=,end_date_in_stock=31/07/2024 02:00,gamme=Juice Heroes,marque=Aspire,pays=France,saveur=;;;;No;;;;;;;;;;;;31/07/2024 02:00;;;;Juice Heroes;;;;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4447;Liquides;simple;"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Réassort";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Réassort";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill=-1;Default Category/DIY=1224;Default Category/Marques/Aspire=5;Default Category/Réassort=0";12,3,207,213;base;Sweet Boom Concentré 10ML - Coconut Biscuit - Chill Pill;"<p></p>
<ul><li>Dosage conseillé : 15% par rapport à votre base</li>
<li>Phase de maturation : minimum 15 jours</li>
<li>Concentré provenant de Malaisie</li>
<li>Ne pas vaper tel quel</li>
</ul><p></p>";"<p style=""""><span>Goutez ce fabuleux </span><strong>cookie</strong><span> <strong>moelleux</strong>, sortant tout droit du four, sublimé par des copeaux de </span><strong>noix de coco</strong><span> !</span></p>";1.000000;1;Taxable Goods;Catalog, Search;2.500000;;;;sweet-boom-concentre-10ml-coconut-biscuit-chill-pill-ref4447;;;;/_/i/_i_m_img_p_1_1_4_6_0_11460.jpg;;/_/i/_i_m_img_p_1_1_4_6_0_11460.jpg;;/_/i/_i_m_img_p_1_1_4_6_0_11460.jpg;;;;08/04/2024 12:16;09/05/2024 23:50;Block after Info Column;;;;;;;;;;;Use config;;1000;0.0000;0;0;0;1;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;0.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_1_4_6_0_11460.jpg;;;;advanced_is_new=No,contenance=,gamme=Juice Heroes,label=Réassort,marque=Aspire,pays=France,saveur=;;;;No;;;;;;;;;;;;;;;;Juice Heroes;;;Réassort;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4450;Liquides;simple;"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Réassort";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Réassort";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill=-2;Default Category/DIY=1223;Default Category/Marques/Aspire=6;Default Category/Réassort=1";12,3,207,213;base;Radioactive Worms Concentré 10ML - Juicy Peach - Chill Pill;"<p></p>
<ul><li>Dosage conseillé : 15% par rapport à votre base</li>
<li>Phase de maturation : minimum 15 jours</li>
<li>Concentré provenant de Malaisie</li>
<li>Ne pas vaper tel quel</li>
</ul><p></p>";"<p style=""""><span>Sirotez ce cocktail étonnant de </span><strong>pêche</strong><span> </span><strong>douce</strong><span> et </span><strong>sucrée</strong><span>, et de </span><strong>citron vert</strong><span>et sa pointe </span><strong>acidulée</strong><span>, agrémenté d'une pincée de </span><strong>sucre</strong><span> pour adoucir le tout !</span></p>";1.000000;1;Taxable Goods;Catalog, Search;2.500000;;;;radioactive-worms-concentre-10ml-juicy-peach-chill-pill-ref4450;;;;/_/i/_i_m_img_p_1_1_4_6_3_11463.jpg;;/_/i/_i_m_img_p_1_1_4_6_3_11463.jpg;;/_/i/_i_m_img_p_1_1_4_6_3_11463.jpg;;;;08/04/2024 12:16;09/05/2024 23:50;Block after Info Column;;;;;;;;;;;Use config;;1000;0.0000;0;0;0;1;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;0.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_1_4_6_3_11463.jpg;;;;advanced_is_new=No,contenance=,gamme=Juice Heroes,label=Réassort,marque=Aspire,pays=France,saveur=;;;;No;;;;;;;;;;;;;;;;Juice Heroes;;;Réassort;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4451;Liquides;simple;"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Réassort";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Réassort";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill=-3;Default Category/DIY=1222;Default Category/Marques/Aspire=7;Default Category/Réassort=2";12,3,207,213;base;Malaysian Chill Concentré 10ML - Pomegranate Blast - Chill Pill;"<p></p>
<ul><li>Dosage conseillé : 15% par rapport à votre base</li>
<li>Phase de maturation : minimum 7 jours</li>
<li>Concentré provenant de Malaisie</li>
<li>Ne pas vaper tel quel</li>
</ul><p></p>";"<p style=""""><span>Un nectar composé de jus de </span><strong>grenade</strong><span> sucré et puissant et d'une touche de </span><strong>fraicheur</strong><span> ! Explosion en bouche garantie ...</span></p>";1.000000;1;Taxable Goods;Catalog, Search;2.500000;;;;malaysian-chill-concentre-10ml-pomegranate-blast-chill-pill-ref4451;;;;/_/i/_i_m_img_p_1_1_4_6_4_11464.jpg;;/_/i/_i_m_img_p_1_1_4_6_4_11464.jpg;;/_/i/_i_m_img_p_1_1_4_6_4_11464.jpg;;;;08/04/2024 12:16;09/05/2024 23:50;Block after Info Column;;;;;;;;;;;Use config;;1000;0.0000;0;0;0;1;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;0.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_1_4_6_4_11464.jpg;;;;advanced_is_new=No,contenance=,gamme=Juice Heroes,label=Réassort,marque=Aspire,pays=France,saveur=;;;;No;;;;;;;;;;;;;;;;Juice Heroes;;;Réassort;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4453;Liquides;simple;"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Réassort";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Réassort";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill=-4;Default Category/DIY=1221;Default Category/Marques/Aspire=8;Default Category/Réassort=3";12,3,207,213;base;Hungry Wife Concentré 10ML - Tropical Mango - Chill Pill;"<p></p>
<ul><li>Dosage conseillé : 15% par rapport à votre base</li>
<li>Phase de maturation : minimum 7 jours</li>
<li>Concentré provenant de Malaisie</li>
<li>Ne pas vaper tel quel</li>
</ul><p></p>";"<p style=""""><span>Vous rêviez d'une </span><strong>mangue</strong><span> charnue, fruitée et d'une pointe de </span><strong>fraicheur</strong><span>? C'est désormais possible avec ce concentré qui vous procurera la meilleure des sensation !</span></p>";1.000000;1;Taxable Goods;Catalog, Search;2.500000;;;;hungry-wife-concentre-10ml-tropical-mango-chill-pill-ref4453;;;;/_/i/_i_m_img_p_1_1_4_6_6_11466.jpg;;/_/i/_i_m_img_p_1_1_4_6_6_11466.jpg;;/_/i/_i_m_img_p_1_1_4_6_6_11466.jpg;;;;08/04/2024 12:16;09/05/2024 23:50;Block after Info Column;;;;;;;;;;;Use config;;1000;0.0000;0;0;0;1;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;0.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_1_4_6_6_11466.jpg;;;;advanced_is_new=No,contenance=,gamme=Juice Heroes,label=Réassort,marque=Aspire,pays=France,saveur=;;;;No;;;;;;;;;;;;;;;;Juice Heroes;;;Réassort;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4454;Liquides;simple;"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Réassort";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Réassort";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill=-5;Default Category/DIY=1220;Default Category/Marques/Aspire=9;Default Category/Réassort=4";12,3,207,213;base;Heart Attack Concentré 10ML - French Mocha - Chill Pill;"<p></p>
<ul><li>Dosage conseillé : 15% par rapport à votre base</li>
<li>Phase de maturation : minimum 7 jours</li>
<li>Concentré provenant de Malaisie</li>
<li>Ne pas vaper tel quel</li>
</ul><p></p>";"<p style=""""><span>Démarrez votre journée avec ce délicieux </span><strong>café macchiato</strong><span> aux notes </span><strong>caramélisées</strong><span> qui vous donnera un coup de fouet !</span></p>";1.000000;1;Taxable Goods;Catalog, Search;2.500000;;;;heart-attack-concentre-10ml-french-mocha-chill-pill-ref4454;;;;/_/i/_i_m_img_p_1_1_4_6_7_11467.jpg;;/_/i/_i_m_img_p_1_1_4_6_7_11467.jpg;;/_/i/_i_m_img_p_1_1_4_6_7_11467.jpg;;;;08/04/2024 12:16;09/05/2024 23:50;Block after Info Column;;;;;;;;;;;Use config;;1000;0.0000;0;0;0;1;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;0.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_1_4_6_7_11467.jpg;;;;advanced_is_new=No,contenance=,gamme=Juice Heroes,label=Réassort,marque=Aspire,pays=France,saveur=;;;;No;;;;;;;;;;;;;;;;Juice Heroes;;;Réassort;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4455;Liquides;simple;"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash;Default Category/Meilleures ventes";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Ventes flash;Default Category/Meilleures ventes";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill=-6;Default Category/DIY=1219;Default Category/Marques/Aspire=10;Default Category/Ventes flash=5;Default Category/Meilleures ventes=2";12,3,207,214,217;base;Frozen Brains Concentré 10ML - Berry Berry - Chill Pill;"<p></p>
<ul><li>Dosage conseillé : 15% par rapport à votre base</li>
<li>Phase de maturation : minimum 7 jours</li>
<li>Concentré provenant de Malaisie</li>
<li>Ne pas vaper tel quel</li>
</ul><p></p>";"<p style=""""><span>Une combinaison multiples de </span><strong>baies des bois</strong><span>, ces petits </span><strong>fruits acidulés</strong><span> et </span><strong>sucrés</strong><span> se retrouvent entremêlés de </span><strong>glaçons</strong><span> pour vous procurer un moment totalement <strong>givré</strong>.</span></p>";1.000000;1;Taxable Goods;Catalog, Search;2.500000;;;;frozen-brains-concentre-10ml-berry-berry-chill-pill-ref4455;;;;/_/i/_i_m_img_p_1_1_4_6_8_11468.jpg;;/_/i/_i_m_img_p_1_1_4_6_8_11468.jpg;;/_/i/_i_m_img_p_1_1_4_6_8_11468.jpg;;;;08/04/2024 12:16;10/05/2024 14:32;Block after Info Column;;;;;;;;;;;Use config;;1000;0.0000;0;0;0;1;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;0.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_1_4_6_8_11468.jpg;;;;advanced_is_new=No,contenance=,end_date_in_stock=31/07/2024 02:00,gamme=Juice Heroes,label=Meilleure Vente,marque=Aspire,pays=France,saveur=;#REF1458782;pack-halo-3;;No;;;;;;;;;;;;31/07/2024 02:00;;;;Juice Heroes;;;Meilleure Vente;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4456;Liquides;simple;"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Pré-Commande";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Pré-Commande";"Default Category/DIY/Concentrés/MALAISIE/Chill Pill=-7;Default Category/DIY=1218;Default Category/Marques/Aspire=11;Default Category/Pré-Commande=0";12,3,207,212;base;Fire Brains Concentré 10ML - Cranberries Rush - Chill Pill;"<p></p>
<ul><li>Dosage conseillé : 15% par rapport à votre base</li>
<li>Phase de maturation : minimum 7 jours</li>
<li>Concentré provenant de Malaisie</li>
<li>Ne pas vaper tel quel</li>
</ul><p></p>";"<p style="""">Une explosion de <strong>baies des bois</strong> et de <strong>cranberry</strong> qui vous emmènera à la découverte du plaisir suprême ! </p>
<p style="""">Sensations nouvelles garanties ! </p>";1.000000;1;Taxable Goods;Catalog, Search;2.500000;;;;fire-brains-concentre-10ml-cranberries-rush-chill-pill-ref4456;;;;/_/i/_i_m_img_p_1_1_4_6_9_11469.jpg;;/_/i/_i_m_img_p_1_1_4_6_9_11469.jpg;;/_/i/_i_m_img_p_1_1_4_6_9_11469.jpg;;;;08/04/2024 12:16;10/05/2024 15:14;Block after Info Column;;;;No;;;;;;;Use config;;1000;0.0000;0;0;101;0;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;1.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_1_4_6_9_11469.jpg;;;;advanced_is_featured=No,advanced_is_new=No,advanced_is_trending=No,contenance=,estimated_delivery=15,gamme=Juice Heroes,is_pack=No,marque=Aspire,pays=France,saveur=;;;No;No;No;;;;;;;;;;;;15;;;Juice Heroes;;No;;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4466;Liquides;simple;"Default Category/DIY/Concentrés/USA/Halo ;Default Category/DIY/Concentrés/USA;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Pré-Commande";"Default Category/DIY/Concentrés/USA/Halo ;Default Category/DIY/Concentrés/USA;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Pré-Commande";"Default Category/DIY/Concentrés/USA/Halo =-4;Default Category/DIY/Concentrés/USA=-4;Default Category/DIY=1217;Default Category/Marques/Aspire=12;Default Category/Pré-Commande=1";8,7,3,207,212;base;Malibu 10ML EX Concentré - Halo;"<p>Plus besoin de présenter la marque Halo, elle propose enfin ses best sellers en concentré.</p>
<p>Dosage conseillé : 25%</p>
<p>Temps de maturation : A partir de 7 jours</p>";"<p style="""">Le <strong>Malibu</strong> de <strong>Halo</strong> est une <strong>piña colada</strong>, vous aurez un savoureux mélange <strong>d'ananas</strong> et de <strong>noix de coco</strong>, avec une note <strong>mentholé</strong> à l'expiration.</p>
<p style="""">Flacon plastique de <strong>10 ml</strong>.</p>";1.000000;1;Taxable Goods;Catalog, Search;3.350000;;;;malibu-10ml-ex-concentre-halo-ref4466;;;;/_/i/_i_m_img_p_1_1_4_8_6_11486.jpg;;/_/i/_i_m_img_p_1_1_4_8_6_11486.jpg;;/_/i/_i_m_img_p_1_1_4_8_6_11486.jpg;;;;08/04/2024 12:16;10/05/2024 00:36;Block after Info Column;;;;;;;;;;;Use config;;1000;0.0000;0;0;101;0;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;0.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_1_4_8_6_11486.jpg;;;;advanced_is_new=No,contenance=,estimated_delivery=15,gamme=Juice Heroes,marque=Aspire,pays=France,saveur=;;;;No;;;;;;;;;;;;;15;;;Juice Heroes;;;;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
#REF4468;Liquides;simple;"Default Category/DIY/Concentrés/USA/Halo ;Default Category/DIY/Concentrés/USA;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Pré-Commande";"Default Category/DIY/Concentrés/USA/Halo ;Default Category/DIY/Concentrés/USA;Default Category/DIY;Default Category/Marques/Aspire;Default Category/Pré-Commande";"Default Category/DIY/Concentrés/USA/Halo =-5;Default Category/DIY/Concentrés/USA=-5;Default Category/DIY=1216;Default Category/Marques/Aspire=13;Default Category/Pré-Commande=2";8,7,3,207,212;base;Turkish 10ML EX Concentré - Halo;"<p>Plus besoin de présenter la marque Halo, elle propose enfin ses best sellers en concentré.</p>
<p>Dosage conseillé : 25%</p>
<p>Temps de maturation : A partir de 7 jours</p>";"<p style="""">Avec le <strong>Turkish</strong> de <a href=""https://www.lca-distribution.com/343-halo"">Halo</a> en concentré, retrouvez un <strong>classique </strong>au saveurs venant d'<strong>orient</strong>. Un <strong>hit prenant</strong> pour un arôme au <strong>saveurs inégalées</strong>. </p>
<p style="""">Flacon plastique de <strong>10 ml</strong>. </p>";1.000000;1;Taxable Goods;Catalog, Search;3.350000;;;;turkish-10ml-ex-concentre-halo-ref4468;;;;/_/i/_i_m_img_p_1_1_4_9_0_11490.jpg;;/_/i/_i_m_img_p_1_1_4_9_0_11490.jpg;;/_/i/_i_m_img_p_1_1_4_9_0_11490.jpg;;;;08/04/2024 12:16;10/05/2024 00:36;Block after Info Column;;;;;;;;;;;Use config;;1000;0.0000;0;0;101;0;1.0000;1;10000.0000;1;1;1.0000;1;1;1;1;0.0000;1;0;0;0;;;;;;;/_/i/_i_m_img_p_1_1_4_9_0_11490.jpg;;;;advanced_is_new=No,contenance=,estimated_delivery=15,gamme=Juice Heroes,marque=Aspire,pays=France,saveur=;;;;No;;;;;;;;;;;;;15;;;Juice Heroes;;;;;;;;Aspire;;;France;;;;;;;;;;;;;;;;;;;;;;;;;
